input_latitude,input_longitude,locationName,requestTimestamp,queryDate,imageDate,satelliteImageType,satelliteImageFrequency,cellConcentration_cells/mL,maxCellConcentration_cells/mL,cell_latitude,cell_longitude,validCellsCount
38.47487571,-107.2830878,West Elk Creek,05-25-2023 13:33:21:724 UTC,05-25-2023 13:33:21:724 UTC,10-23-2021 04:00:00:0 UTC,OLCI,Weekly,35974.934,173780.08,38.4748,-107.282,4
38.47487571,-107.2830878,West Elk Creek,05-25-2023 13:33:21:724 UTC,05-25-2023 13:33:21:724 UTC,09-11-2021 04:00:00:0 UTC,OLCI,Weekly,82413.81,277971.34,38.4748,-107.282,6
38.47487571,-107.2830878,West Elk Creek,05-25-2023 13:33:21:724 UTC,05-25-2023 13:33:21:724 UTC,09-04-2021 04:00:00:0 UTC,OLCI,Weekly,97274.72,164437.17,38.4748,-107.282,6
38.47487571,-107.2830878,West Elk Creek,05-25-2023 13:33:21:724 UTC,05-25-2023 13:33:21:724 UTC,08-28-2021 04:00:00:0 UTC,OLCI,Weekly,46131.758,155596.56,38.4748,-107.282,5
38.47487571,-107.2830878,West Elk Creek,05-25-2023 13:33:21:724 UTC,05-25-2023 13:33:21:724 UTC,04-11-2020 04:00:00:0 UTC,OLCI,Weekly,32210.688,52966.348,38.4748,-107.282,5
38.47439686,-107.2025299,Blue Mesa Reservoir,05-25-2023 13:33:22:316 UTC,05-25-2023 13:33:22:316 UTC,10-08-2022 04:00:00:0 UTC,OLCI,Weekly,94623.72,235504.94,38.4748,-107.202,7
38.47439686,-107.2025299,Blue Mesa Reservoir,05-25-2023 13:33:22:316 UTC,05-25-2023 13:33:22:316 UTC,09-24-2022 04:00:00:0 UTC,OLCI,Weekly,128233.06,194088.6,38.4748,-107.202,9
38.47439686,-107.2025299,Blue Mesa Reservoir,05-25-2023 13:33:22:316 UTC,05-25-2023 13:33:22:316 UTC,09-18-2021 04:00:00:0 UTC,OLCI,Weekly,67920.37,111686.32,38.4748,-107.202,8
38.47439686,-107.2025299,Blue Mesa Reservoir,05-25-2023 13:33:22:316 UTC,05-25-2023 13:33:22:316 UTC,09-11-2021 04:00:00:0 UTC,OLCI,Weekly,432513.84,444631.28,38.4748,-107.202,9
38.47439686,-107.2025299,Blue Mesa Reservoir,05-25-2023 13:33:22:316 UTC,05-25-2023 13:33:22:316 UTC,09-04-2021 04:00:00:0 UTC,OLCI,Weekly,366437.56,570164.3,38.4748,-107.202,9
38.47439686,-107.2025299,Blue Mesa Reservoir,05-25-2023 13:33:22:316 UTC,05-25-2023 13:33:22:316 UTC,08-28-2021 04:00:00:0 UTC,OLCI,Weekly,636795.56,636795.56,38.4748,-107.202,9
38.47439686,-107.2025299,Blue Mesa Reservoir,05-25-2023 13:33:22:316 UTC,05-25-2023 13:33:22:316 UTC,08-21-2021 04:00:00:0 UTC,OLCI,Weekly,319153.78,510504.97,38.4748,-107.202,9
38.47439686,-107.2025299,Blue Mesa Reservoir,05-25-2023 13:33:22:316 UTC,05-25-2023 13:33:22:316 UTC,08-14-2021 04:00:00:0 UTC,OLCI,Weekly,285759.06,301995.2,38.4748,-107.202,9
38.47439686,-107.2025299,Blue Mesa Reservoir,05-25-2023 13:33:22:316 UTC,05-25-2023 13:33:22:316 UTC,10-03-2020 04:00:00:0 UTC,OLCI,Weekly,23120.648,23120.648,38.4748,-107.202,2
