Geonames	Waterbody Name	 Number of Stations	Is drinking water	Cyanobacteria exposure category	CyAN object ID	centroid latitude	centroid longitude	area (km2)	elevation (m)	CyAN data	COEPHT data	Cells present	toxins tested	toxins detected	zipcode adjacent	is recreation	zipcode water source	Notes	More information
https://www.geonames.org/5411387/adams-lake.html	Adams Lake	1				37.40068	-105.85341			Y		Y							
https://www.geonames.org/5411395/adobe-creek-reservoir.html	Adobe Creek Reservoir	4	Yes	chronic	2679736	38.26189195	-103.246414	19.3	1258.8	Y	N	Y	N		there are only two houses that live near this reservoir	Yes		aka Blue Lake	https://www.uncovercolorado.com/activities/adobe-creek-reservoir-swa/
https://www.geonames.org/5411843/anderson-reservoir-number-1.html	Anderson Reservoir No. 1	1				39.03065	-108.12752			Y		Y							
https://www.geonames.org/5411844/anderson-reservoir-number-2.html	Anderson Reservoir No. 2	1				39.03588	-108.12429			Y		Y							
https://www.geonames.org/5574300/annex-reservoir-number-8.html	Annex Reservoir No. 8	1				40.65196	-105.05857			Y		Y							
https://www.geonames.org/5411963/antero-reservoir.html	Antero Reservoir	4	Yes		234012	38.98745132	-105.9157	9.01	2726.36	Y	Y	Y	Y	N				toxins tested and not detected in one year	
https://www.geonames.org/5427782/lake-arbor.html	Arbor Lake	1				39.84327	-105.06664			N	Y		Y	Y				ask COEPHT - If toxins were tested, does that mean cells were present? - aka Lake Arbor; toxins tested in two years and detected in one	
https://www.geonames.org/5412356/aurora-reservoir.html	Aurora Reservoir	3	Yes		718672	39.61071964	-104.663137	2.98	1806.68	Y		Y							
https://www.geonames.org/5412360/aurora-rampart-reservoir.html	Aurora-Rampart Reservoir	1				39.44924	-105.06564			Y		Y							
https://www.geonames.org/5574425/bacon-lake.html	Bacon Lake	1				40.31209	-105.06254			Y		Y							
https://www.geonames.org/5574512/barnes-meadow-reservoir.html	Barnes Meadow Reservoir	1				40.598	-105.83082			Y		Y							
https://www.geonames.org/5412778/barr-lake.html	Barr Lake	3		chronic	1747679	39.94325449	-104.764417	6.98	1552.79	Y	Y	Y	Y	Y	80601, 80603, 80022	Yes		Toxins measured and detected in multiple years	https://cpw.state.co.us/placestogo/parks/barrlake
https://www.geonames.org/5574526/base-line-reservoir.html	Baseline Reservoir	1				39.99678	-105.20545			Y		Y							
https://www.geonames.org/5412905/bauer-lake.html	Bauer Lake	1		chronic		37.38228	-108.30337			Y	N	Y	N		81328	Yes			
https://www.geonames.org/5413043/bear-creek-lake.html	Bear Creek Lake	2		chronic		39.65078	-105.14362			Y	Y	Y	Y	Y	80465, 80227, 80235	Yes		Toxins measured and detected in multiple years	
https://www.geonames.org/5413210/beaver-creek-reservoir.html	Beaver Creek Reservoir	1				37.59143	-106.6621			N	Y		Y						
https://www.geonames.org/5574650/beaver-reservoir.html	Beaver Reservoir	1				40.11706	-105.52316			Y		Y							
https://www.geonames.org/5413302/beckwith-reservoir.html	Beckwith Reservoir	1				37.94635	-104.86195			Y		Y							
https://www.geonames.org/5427823/lake-erie.html	Lake Erie	1				39.9337	-104.96128			N	Y		N					aka Lake Avery - in Avery Lake Estates	
https://www.geonames.org/5574749/big-creek-lakes.html	Big Creek Lakes	2				40.92454	-106.61241			Y		Y							
https://www.geonames.org/5413779/big-lake.html	Big Lake	1				37.36216	-106.37917			Y		Y							
https://www.geonames.org/5413789/big-meadows-reservoir.html	Big Meadows Reservoir	1				37.53706	-106.80432			Y	Y	Y	Y	N				Toxins measured and not detected in two years	
https://www.geonames.org/5574824/bijou-number-2-reservoir.html	Bijou Number 2 Reservoir	2		chronic		40.28495	-103.97583			Y	N	Y	N			No			https://dwr.state.co.us/Tools/Structures/0103570
https://www.geonames.org/5574861/black-hollow-reservoir.html	Black Hollow Reservoir	1		chronic		40.61129	-104.87847			Y	N	Y	N			No			https://coloradobirdingtrail.com/site/black-hollow-reservoir/
https://www.geonames.org/5414114/black-lake.html	Black Lake	1				39.79162	-106.27294			Y		Y							
https://www.geonames.org/5414371/blue-mesa-reservoir.html	Blue Mesa Reservoir	4	Yes	chronic	3370772	38.47136954	-107.211314	36.19	2293.17	Y	N	Y	N			Yes			https://www.uncovercolorado.com/activities/blue-mesa-reservoir/
https://www.geonames.org/5414433/blunn-reservoir.html	Blunn Reservoir	1				39.82344	-105.21019			Y		Y							
https://www.geonames.org/5574957/boettcher-lake.html	Boettcher Lake	1				40.82452	-106.5146			Y		Y							
https://www.geonames.org/5414543/bonham-reservoir.html	Bonham Reservoir	1		chronic		39.09976	-107.90275			Y	N	Y	N			Yes			
https://www.geonames.org/5575034/boulder-reservoir.html	Boulder Reservoir	1				40.07833	-105.22195			Y		Y							
https://www.geonames.org/5575142/boyd-lake.html	Boyd Lake	3			5176454	40.43358305	-105.033538	6.57	1509.5	Y	Y	Y	Y	N				Toxins measured and not detected in two years	
https://www.geonames.org/5575331/burch-lake.html	Burch Lake	1				40.20018	-105.18652			Y		Y							
https://www.geonames.org/5575435/calkins-lake.html	Calkins Lake	2				40.18222	-105.03905			Y		Y							
https://www.geonames.org/5575534/carter-lake-reservoir.html	Carter Lake Reservoir	3				40.33524	-105.21786			N	Y		Y	N				toxins tested and not detected in one sample	
https://www.geonames.org/5416312/castle-number-4-reservoir.html	Castle Number 4 Reservoir	1				37.851	-107.25474			Y	N	Y	N						
https://www.geonames.org/5416458/cedar-brook-lake.html	Cedar Brook Lake	1				39.36972	-107.04519			N	Y							double check location with COEPHT - aka Lake Christine	
	Cell No. 1	Ken Mitchell Park								N	Y		Y	Y				in Brighton CO, water body labeled as Cell No. 1, found on map, but not in geonames; toxins tested and detected in one year	
https://www.geonames.org/5575631/chambers-lake.html	Chambers Lake	1				40.60452	-105.85338			Y	Y	Y	Y	N				toxins measured and not detected in one year	
	Chatfield Dog Park Pond - East	1								N	Y		Y	N				found it on map, but not in Geonames, north of chatfield reservoir; toxins measured and not detected in one year	
	Chatfield Dog Park Pond - West	1								N	Y		Y	N				found it on map, but not in Geonames, north of chatfield reservoir; toxins measured and not detected in one year	
https://www.geonames.org/5416756/chatfield-lake.html	Chatfield Lake	4	Yes		2406607	39.54489497	-105.067085	5.62	1656.11	Y	Y	Y	Y	N				Toxins measured and not detected in multiple years	
https://www.geonames.org/5416775/cheesman-lake.html	Cheesman Lake	3	Yes			39.19547	-105.28456			Y		Y							
https://www.geonames.org/5416788/cheraw-lake.html	Cheraw Lake	2		chronic		38.09917	-103.513			Y	N	Y	N		81030	No			https://coloradobirdingtrail.com/site/lake-cheraw/
